제목,날짜
 세븐일레븐과 상생금융 및 신사업 제휴 업무협약 체결,2020.12.05
 국내은행 최초 더 뱅커 '글로벌 최우수 은행' 수상,2020.12.02
 소외계층 아동 위한 건강하고 신나는 겨울나기 지원,2020.12.02
 '2020 대한민국 녹색경영대상' 국무총리 표창 수상,2020.11.30
 유튜브 자산관리 세미나 '우리 Wealth LIVE' 개최,2020.11.26
 기술보증기금과 함께 비대면 전용 보증서 대출 출시,2020.11.24
 ‘우리WON뱅킹 첫 가입고객’ 대상 이벤트 실시,2020.11.19
 ‘우리WON뱅킹’ 고객 편의성 중심 업그레이드,2020.11.19
 금융권 최초 범용성 갖춘 ‘WON금융인증서’ 출시,2020.11.17
"은행, ‘Infobank 25년 연속 최우수 은행’ 선정",2020.11.16
 ‘우리 200일 적금 가입 앵콜’ 이벤트,2020.11.16
 비대면 신용대출 카카오페이에서 조회하고 가입,2020.11.16
 DT 가속화로 디지털금융 경쟁력 강화,2020.11.09
 ‘우리 캐시노트 플랫폼 전용대출’ 비대면 상품 출시,2020.11.05
 한국전력거래소 ‘주거래은행’으로 선정,2020.10.30
 ‘연금저축펀드 가입’ 이벤트 실시,2020.10.30
 방글라데시 진출 국내기업 지원 박차,2020.10.30
 태블릿브랜치 고도화한‘위니mini’출시,2020.10.23
 한국잡월드 '주거래은행'으로 선정,2020.10.20
 PCIB 1호점 ‘TCE 강남센터’ 개점,2020.10.20
 첫 4억 호주달러 캥거루채권 발행 성공,2020.10.19
 ‘특정금전신탁 KRX골드’ 출시,2020.10.15
 개인형 퇴직연금(IRP) 모으고 굴리는 ‘연금술사 IRP하자!’ 이벤트 실시,2020.10.13
 ‘우리 월급 뽀너스’ 이벤트 실시,2020.10.13
 베트남 글로벌 수탁업무 개시,2020.10.13
 아시안뱅커지 ‘한국 최우수 자금관리 및 송금 은행’ 수상,2020.10.07
"유미의 세포들 콜라보, ‘우리 200일 적금’ 출시",2020.10.05
 ‘제23회 우리은행 우리미술대회’ 온라인 본선대회 개최,2020.09.28
 기술보증기금과 테크밸리기업 금융지원 업무협약 체결,2020.09.28
한국신용데이터 소상공인 비대면 금융 지원을 위한 업무협약 체결,2020.09.24
 보건복지부‘노인일자리 유공기관 부문 대상’ 수상,2020.09.23
 코로나19 및 태풍 피해기업 돕기 『힘내자! 대한민국』직원 참여 3차 바자회 실시,2020.09.22
 20대 청년들을 위한 ‘우리미래드림바우처Ⅱ’ 실시,2020.09.21
 유튜브 부동산 세미나 ‘우리 Wealth LIVE’ 개최,2020.09.17
 글로벌 통합 자금세탁방지 시스템 구축,2020.09.15
 2020년 하반기 신입행원 공채 실시,2020.09.14
 카카오페이와 금융 · 플랫폼 융합 위한 업무협약 체결,2020.09.11
 ‘우리로보알파 펀드가입’ 이벤트 실시,2020.09.09
 ‘한가위 맞이 청약저축 가입 경품’ 이벤트 실시,2020.09.07
 ‘전기통신금융사기 AI 모니터링 시스템’ 고도화,2020.09.03
 한국의약품안전관리원 ‘주거래은행’ 선정,2020.08.25
 핑크퐁 ‘용돈송’ 출시 및 ‘아기상어 저금통’ 이벤트 실시,2020.08.25
 ‘우리 중진공 투게더론’ 중소기업 대출상품 출시,2020.08.20
 기보-본투글로벌센터와 ICT스타트업 금융지원,2020.08.18
 우리WON뱅킹 출시 1주년 기념 이벤트,2020.08.18
 코로나19 및 호우 피해기업 돕기 『힘내자! 대한민국』직원 참여 2차 바자회 실시,2020.08.13
 ‘우리 FUNTACT’ 이벤트 실시,2020.08.13
 독립유공자 후손과 유족에게 후원금 1억원 전달,2020.08.11
 금융권 최초 온라인 미술대회 개최,2020.08.11
 원화‘ESG채권’3천억원 발행 성공,2020.08.06
"오픈뱅킹, 고객 편의성 중심 대폭 개선",2020.08.05
 네이버와 제휴를 통해 ‘모바일번호표 서비스’ 실시,2020.08.03
 ‘우리 SUPER 정기예금’ 출시,2020.07.30
